label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
open_hand,0,0,0,0.15690471,0.55606427,-0.12731391,0.50040094,0.92578683,-0.14925912,0.77693921,1.16876188,-0.16621453,0.91551673,1.41014265,-0.18259006,0.9289092,0.51284151,-0.06467572,1.26201147,0.67500259,-0.13028365,1.4733098,0.74543802,-0.19166928,1.65141164,0.77540989,-0.24438724,0.98915322,0.14688739,-0.06851086,1.4089841,0.12439615,-0.13234212,1.66366378,0.10094017,-0.19722466,1.86328974,0.04537442,-0.24498747,0.94862674,-0.1726927,-0.09220948,1.32627445,-0.31772199,-0.17509165,1.56358781,-0.42880967,-0.25554387,1.76989012,-0.53881091,-0.31114156,0.82460531,-0.45890669,-0.12848197,1.07660728,-0.67128782,-0.21949617,1.24160705,-0.81692808,-0.27569085,1.40261217,-0.94003717,-0.3118724
open_hand,0,0,0,0.15557852,0.56287398,-0.12350003,0.50739592,0.92953312,-0.14385237,0.78299594,1.17066353,-0.16060791,0.90565695,1.41546525,-0.17745965,0.93416465,0.50113914,-0.0610044,1.25962368,0.66257086,-0.12934608,1.46690345,0.739472,-0.19401439,1.64273179,0.77917057,-0.24897426,0.99083934,0.13504594,-0.06765714,1.40764466,0.11271645,-0.13353629,1.65911114,0.09011464,-0.20047012,1.86001726,0.03784325,-0.24996784,0.94870614,-0.1827027,-0.09402127,1.32333146,-0.32381541,-0.17913027,1.55635721,-0.43713012,-0.26080582,1.75995807,-0.5492933,-0.31677813,0.82443523,-0.46792818,-0.13277961,1.07674568,-0.67842133,-0.22459245,1.24158086,-0.82435586,-0.28059874,1.40190242,-0.95083737,-0.31690346
open_hand,0,0,0,0.16234177,0.56117116,-0.12316757,0.51799786,0.9184053,-0.14274649,0.79871263,1.14864934,-0.15839648,0.92836121,1.39289439,-0.17370156,0.93895475,0.48224847,-0.05861906,1.27368313,0.6333502,-0.12370608,1.48445626,0.70427317,-0.18535,1.66276072,0.73708933,-0.238183,0.99326601,0.11585613,-0.06463125,1.4148785,0.0827878,-0.12805822,1.67011128,0.05335082,-0.193332,1.87243375,-0.00570947,-0.24114915,0.94891585,-0.20252438,-0.09036477,1.32454817,-0.35792662,-0.17305113,1.56077375,-0.47653381,-0.25448222,1.76619074,-0.59189602,-0.31037923,0.82252236,-0.48865892,-0.12842596,1.07422291,-0.70403302,-0.2184102,1.24006675,-0.85415095,-0.27477959,1.40150713,-0.98219569,-0.31147422
open_hand,0,0,0,0.17881408,0.55297216,-0.117502,0.54294429,0.89675149,-0.13248192,0.82505699,1.11985119,-0.14438585,0.95498234,1.3651818,-0.15590336,0.94998658,0.44289363,-0.04730066,1.2877865,0.58292589,-0.10751955,1.50002066,0.64354134,-0.16725889,1.68033524,0.66615778,-0.21925721,0.99701104,0.07725926,-0.05401953,1.41211546,0.02985512,-0.11304071,1.66458466,-0.01114733,-0.17856536,1.86845379,-0.0817714,-0.22705934,0.94870288,-0.24041927,-0.07998129,1.31871598,-0.40865639,-0.1578859,1.5522699,-0.53508238,-0.23867659,1.75714906,-0.65970144,-0.29471933,0.81955547,-0.52434166,-0.11794859,1.06725063,-0.75026734,-0.20238085,1.23230007,-0.9014574,-0.2566447,1.39505284,-1.02884167,-0.29244893
open_hand,0,0,0,0.22838945,0.49961705,-0.11560188,0.60674119,0.74377288,-0.13192058,0.92107709,0.87704815,-0.14546545,1.10697889,1.04363399,-0.15775502,0.97709661,0.2063593,-0.03682398,1.32298777,0.25709447,-0.09444353,1.53778478,0.25274997,-0.15220866,1.71625941,0.21803081,-0.20319004,0.98610852,-0.16610234,-0.0450766,1.38549684,-0.33263266,-0.10365085,1.62497653,-0.44268441,-0.16756008,1.81468595,-0.5607068,-0.2145159,0.90461088,-0.46701415,-0.07310992,1.25065193,-0.73075905,-0.1536336,1.46489975,-0.91727403,-0.22856315,1.65647811,-1.08596621,-0.27953472,0.74668056,-0.7082221,-0.11293677,0.97325143,-0.99162521,-0.20224957,1.11824886,-1.18529588,-0.25470731,1.26740072,-1.35049636,-0.28715995
open_hand,0,0,0,0.19354965,0.52359531,-0.12481972,0.56124854,0.82360435,-0.15399312,0.86083966,0.99017881,-0.17812709,1.0306216,1.20926731,-0.20162845,0.97106225,0.29219838,-0.0715209,1.30746805,0.39188617,-0.15008128,1.5195087,0.4260743,-0.21943174,1.69515608,0.42331062,-0.27513885,0.996997,-0.07744015,-0.0806989,1.41286007,-0.19426103,-0.15504639,1.66335651,-0.2726457,-0.22263554,1.85800061,-0.3687545,-0.27008572,0.92675109,-0.38500613,-0.10933884,1.29188412,-0.62863456,-0.20256356,1.51704156,-0.78192426,-0.28145124,1.71415188,-0.92329125,-0.33240756,0.77483466,-0.63530287,-0.14997338,1.01681218,-0.92742509,-0.24857431,1.17203284,-1.11283421,-0.30256041,1.3267963,-1.2748499,-0.33451778
open_hand,0,0,0,0.11290723,0.58114385,-0.12466522,0.42078371,0.9944666,-0.15368506,0.69349057,1.23791364,-0.17642307,0.8299754,1.48794603,-0.20030959,0.88861962,0.59882527,-0.07404506,1.21184399,0.79174941,-0.15446746,1.41509479,0.89776207,-0.22828023,1.59009254,0.96486013,-0.28619368,0.96649954,0.25666835,-0.07878919,1.38313975,0.27581572,-0.14971949,1.64425478,0.27673772,-0.22121013,1.85516434,0.24588993,-0.27433272,0.9442314,-0.06216139,-0.102541,1.33378042,-0.16882925,-0.19160323,1.56967164,-0.24241446,-0.27475848,1.7677237,-0.31993953,-0.32974684,0.83774886,-0.36389699,-0.13813062,1.10863717,-0.55530192,-0.23262519,1.28251982,-0.68572432,-0.28907132,1.44721755,-0.8037729,-0.32392047
open_hand,0,0,0,0.09627229,0.56868563,-0.12819416,0.38830262,1.00380994,-0.1573852,0.63287998,1.30161497,-0.18088118,0.74990875,1.56635517,-0.20266494,0.84969786,0.67487748,-0.07074336,1.14991709,0.90964051,-0.14218738,1.34681611,1.03215317,-0.20938992,1.51736703,1.10853958,-0.26490286,0.9435724,0.33116632,-0.07520169,1.35336015,0.39592258,-0.14152723,1.60336642,0.41795311,-0.20837817,1.80928163,0.40629292,-0.25765074,0.9379407,0.01759989,-0.09899103,1.31247631,-0.03639191,-0.18179684,1.54187055,-0.09209918,-0.25822865,1.74421487,-0.14803537,-0.309856,0.84807912,-0.27843893,-0.13566055,1.11508574,-0.44961192,-0.2240586,1.28781339,-0.56846173,-0.27516256,1.45784873,-0.66310621,-0.30681283
open_hand,0,0,0,0.08564209,0.55994516,-0.12009507,0.37009591,1.01313775,-0.14206212,0.5979094,1.32833401,-0.15934438,0.69493504,1.59900101,-0.17547083,0.82033795,0.72544887,-0.05923692,1.10754484,0.9723044,-0.1226236,1.29575603,1.10375897,-0.18436018,1.4581826,1.18826083,-0.23641752,0.91904774,0.39414624,-0.06428756,1.31771054,0.48275962,-0.12397474,1.55878058,0.52459272,-0.18760499,1.75769832,0.52621153,-0.23477281,0.92073121,0.08647696,-0.08795942,1.2870028,0.05758146,-0.16498792,1.51106782,0.01644903,-0.23995121,1.71007246,-0.0300044,-0.29113849,0.84118131,-0.21130974,-0.12386435,1.10697239,-0.35990894,-0.20784029,1.27785231,-0.46851629,-0.25844369,1.44524024,-0.55488856,-0.29027821
open_hand,0,0,0,0.0900628,0.56896269,-0.12214481,0.37960944,1.0059731,-0.13881123,0.61585207,1.30829576,-0.14985279,0.72478253,1.57102388,-0.15965785,0.83310499,0.7077566,-0.05284532,1.1276131,0.95141907,-0.11137975,1.32161258,1.07540537,-0.17055577,1.48831698,1.15081461,-0.22130699,0.92779709,0.3730852,-0.05458786,1.33218507,0.4487656,-0.11089715,1.57838469,0.48956218,-0.17410513,1.77886705,0.48734144,-0.22089558,0.92430742,0.06278766,-0.07557436,1.29664055,0.02128965,-0.15198597,1.52795001,-0.02311998,-0.22964787,1.73192654,-0.07667819,-0.28241661,0.84057032,-0.23583951,-0.10868812,1.10823333,-0.39120561,-0.1954562,1.28312742,-0.50004033,-0.24979916,1.4536198,-0.58744055,-0.28365601
open_hand,0,0,0,0.08888876,0.58105544,-0.10155723,0.39791271,1.00438771,-0.10380782,0.64116157,1.27489383,-0.10324355,0.73044502,1.53210061,-0.10462088,0.84674621,0.68236817,-0.03855738,1.14743883,0.9120706,-0.09341637,1.35336198,1.02793442,-0.1490246,1.5246284,1.09862562,-0.19779859,0.93844265,0.34543509,-0.05088822,1.36183714,0.39110258,-0.10664688,1.62209309,0.42083098,-0.17045967,1.83093303,0.41635512,-0.2152348,0.93281201,0.03110852,-0.07986448,1.32845725,-0.03134515,-0.16010092,1.57466438,-0.08807351,-0.24309092,1.78817238,-0.15209668,-0.29704162,0.84352404,-0.27025119,-0.11822944,1.12460699,-0.43675126,-0.21184898,1.30435433,-0.54959877,-0.26892078,1.4782699,-0.64278389,-0.30272375
open_hand,0,0,0,0.09128589,0.55456794,-0.11367367,0.38184482,0.96194261,-0.13142667,0.6381492,1.23321531,-0.14519446,0.76756147,1.47988716,-0.15836683,0.85556854,0.64156098,-0.05289116,1.16300537,0.87773223,-0.11584652,1.3665566,0.99623447,-0.17635142,1.53864563,1.06415928,-0.22707643,0.94910538,0.31495869,-0.06226062,1.37239095,0.37246028,-0.12431163,1.63445252,0.39875838,-0.19024712,1.84623388,0.38373053,-0.23699886,0.94409715,0.00879168,-0.08944252,1.33758396,-0.05454424,-0.17391972,1.58471954,-0.110911,-0.25528388,1.79786951,-0.1758038,-0.30844493,0.85522262,-0.28887526,-0.12679838,1.13479937,-0.46421217,-0.22201953,1.31602913,-0.58155341,-0.27767638,1.48830814,-0.67949732,-0.31019863
open_hand,0,0,0,0.09763357,0.5444072,-0.10549199,0.39854546,0.94612106,-0.12322062,0.64903428,1.21682417,-0.13788828,0.76208349,1.4727296,-0.15229453,0.86003846,0.63299148,-0.05385125,1.16698456,0.86118257,-0.11739988,1.3676203,0.9781721,-0.17756957,1.53774955,1.04791694,-0.22832681,0.95072472,0.31003631,-0.06901971,1.37078686,0.37170254,-0.13183746,1.63136566,0.39519533,-0.19595853,1.84363005,0.37934597,-0.24109104,0.94441055,0.00833273,-0.10108669,1.33675421,-0.0534521,-0.18480485,1.58057077,-0.10739622,-0.2635791,1.79174232,-0.16872933,-0.31501585,0.85329421,-0.2844017,-0.14270011,1.13308729,-0.46238139,-0.2351249,1.31282103,-0.58012976,-0.28785232,1.48486748,-0.67706035,-0.31893962
open_hand,0,0,0,0.10463834,0.51936636,-0.11124203,0.40445824,0.91242804,-0.13745913,0.65984713,1.16657116,-0.16071069,0.79065504,1.42050349,-0.18361296,0.87058977,0.61019661,-0.06640704,1.1818897,0.82685952,-0.14108342,1.3838798,0.94239539,-0.20815551,1.55629779,1.01345381,-0.26259948,0.95900514,0.28338869,-0.0831622,1.3818479,0.33502541,-0.15483266,1.64330949,0.3558368,-0.22367443,1.85661898,0.340604,-0.27223101,0.94748985,-0.01671237,-0.11729219,1.34259218,-0.08355003,-0.20786698,1.58690159,-0.1419307,-0.28702336,1.79931811,-0.20544151,-0.33863771,0.84791517,-0.30545163,-0.16155184,1.12870118,-0.48614811,-0.26009169,1.31095331,-0.60767398,-0.31442872,1.48623444,-0.71003889,-0.34611664
open_hand,0,0,0,0.10831584,0.51318856,-0.11928061,0.41553993,0.89805247,-0.15051902,0.68048925,1.14489931,-0.17714014,0.82226358,1.39717093,-0.20251124,0.87923952,0.591203,-0.07855292,1.18840277,0.80437345,-0.15900776,1.38772497,0.91597817,-0.22869492,1.55919047,0.98134464,-0.28440675,0.96509625,0.26189544,-0.0929713,1.38842125,0.31669316,-0.1691203,1.64946234,0.33065254,-0.23727674,1.86181621,0.31045086,-0.28527936,0.94933231,-0.03663265,-0.12563001,1.34314998,-0.10784121,-0.21977089,1.58680691,-0.16503041,-0.29760093,1.79756529,-0.22214791,-0.3483211,0.84629181,-0.31817203,-0.16936837,1.12448565,-0.50306993,-0.2701269,1.30754834,-0.62758129,-0.32477273,1.4818127,-0.73164138,-0.35702498
open_hand,0,0,0,0.11889795,0.51327538,-0.12020739,0.43474422,0.88571139,-0.14896749,0.70624561,1.10257645,-0.17305217,0.85233681,1.34371319,-0.19553735,0.88995818,0.57050077,-0.06991945,1.19968377,0.77346105,-0.14766241,1.39820701,0.87895202,-0.21642537,1.56853841,0.94172365,-0.27201733,0.97188783,0.23544435,-0.08142247,1.39120008,0.27846969,-0.15435996,1.64559135,0.28793014,-0.22155432,1.84964435,0.26823693,-0.27002849,0.95296917,-0.06225939,-0.11199071,1.34262834,-0.14029581,-0.20413609,1.5803259,-0.20338625,-0.28094662,1.78348973,-0.26425463,-0.33166056,0.84697881,-0.34031032,-0.15396731,1.12175504,-0.52534282,-0.25444443,1.3027244,-0.65062698,-0.30990091,1.47384479,-0.75656371,-0.34308049
open_hand,0,0,0,0.11307353,0.51566765,-0.12045687,0.43123387,0.88354361,-0.14946682,0.71012075,1.10393641,-0.17363297,0.85986818,1.34633821,-0.1961924,0.88995336,0.56344279,-0.07165933,1.19914441,0.76406978,-0.15253734,1.39876898,0.87232522,-0.22352082,1.56950179,0.93671962,-0.28012843,0.97349102,0.22872523,-0.08338113,1.39522244,0.27402998,-0.15903315,1.65215344,0.28045478,-0.2271615,1.86116073,0.25565235,-0.2756489,0.95620758,-0.07114629,-0.11410434,1.34963384,-0.15062391,-0.20769712,1.58928206,-0.21412033,-0.28433015,1.79611039,-0.27771021,-0.33459493,0.85114455,-0.35219352,-0.156264,1.12612404,-0.5420378,-0.25627337,1.308167,-0.66910718,-0.31088626,1.48258919,-0.7772524,-0.34367233
open_hand,0,0,0,0.12576944,0.53406166,-0.09542579,0.45448067,0.91204121,-0.10542712,0.72175378,1.11306288,-0.11695693,0.86238884,1.33113144,-0.12855942,0.9020819,0.55070774,-0.02975578,1.19990045,0.75154693,-0.09971531,1.38733414,0.86529597,-0.16685143,1.54658671,0.94032408,-0.2204392,0.97627209,0.21654748,-0.04815421,1.39209184,0.25816524,-0.11121126,1.63672853,0.27527115,-0.17231465,1.82967341,0.26098158,-0.21759588,0.95456589,-0.07982546,-0.08579867,1.34338133,-0.16576058,-0.16756359,1.5727972,-0.22462126,-0.2372905,1.77122634,-0.28326241,-0.28539566,0.85016758,-0.35878182,-0.13414622,1.1177256,-0.53651676,-0.22084474,1.292033,-0.65129284,-0.26775161,1.4586237,-0.74901163,-0.29812555
open_hand,0,0,0,0.13043437,0.5499149,-0.09020599,0.45571719,0.93268892,-0.08919048,0.71580953,1.15195068,-0.09281269,0.83855813,1.38190885,-0.09581644,0.89382531,0.57808674,0.00817994,1.17787241,0.7782977,-0.04416171,1.35463258,0.87907264,-0.10367194,1.51031028,0.94045984,-0.15494414,0.96694556,0.25498289,-0.00872779,1.36229777,0.30387959,-0.05749104,1.59180064,0.31829288,-0.11640488,1.77646306,0.30013376,-0.16268209,0.94744378,-0.03269685,-0.04693727,1.3021897,-0.11648103,-0.11611184,1.5155179,-0.17542215,-0.18553593,1.70816319,-0.23199943,-0.2358537,0.85179871,-0.30522233,-0.09676362,1.10908485,-0.47771511,-0.1701371,1.27149298,-0.59341171,-0.21375517,1.43056684,-0.68915489,-0.24521818
open_hand,0,0,0,0.11880318,0.55900228,-0.09837768,0.45573223,0.95084213,-0.08824362,0.72142437,1.19477586,-0.07587016,0.82975488,1.41673533,-0.0596209,0.8823969,0.59559726,0.01174568,1.18052265,0.79800033,-0.01846952,1.37111156,0.90055064,-0.061101,1.53365821,0.95914984,-0.10196858,0.96599506,0.25856053,0.01023434,1.36399169,0.30842309,-0.01978422,1.60187901,0.32377885,-0.06451329,1.78863314,0.30474936,-0.09981483,0.95731605,-0.04261586,-0.01206421,1.32035729,-0.12043811,-0.06508767,1.53108809,-0.17227783,-0.12917331,1.71475312,-0.22612598,-0.17512675,0.87129921,-0.32568899,-0.04663008,1.13129523,-0.49495264,-0.11070206,1.29856845,-0.61294286,-0.15534113,1.46199364,-0.70487663,-0.18644855
open_hand,0,0,0,0.11663538,0.58368044,-0.09553983,0.44808908,0.97955356,-0.08452432,0.71795363,1.22381119,-0.07208213,0.83833778,1.45219289,-0.05728764,0.88141117,0.60012114,0.01576302,1.19074466,0.80903604,-0.01979022,1.39085568,0.91413737,-0.06621334,1.55693395,0.97201542,-0.10909713,0.9662929,0.25744522,0.01037284,1.37832351,0.29844727,-0.02675745,1.63007035,0.31361477,-0.08006332,1.82875048,0.29450081,-0.11960629,0.95835554,-0.05349833,-0.01577203,1.34277485,-0.13238963,-0.0783174,1.56998929,-0.18556008,-0.15280026,1.76780449,-0.24279115,-0.20383685,0.87184736,-0.34732852,-0.05275141,1.13439128,-0.52720367,-0.12898314,1.30355702,-0.65001352,-0.18074237,1.47146274,-0.74541977,-0.21426542
open_hand,0,0,0,0.1126243,0.58353977,-0.09929012,0.4388533,0.9755377,-0.09499276,0.70681954,1.22156184,-0.089132,0.82544188,1.46057813,-0.08192792,0.88136502,0.60135685,-0.00335606,1.19161212,0.82161521,-0.04607399,1.39306592,0.93159548,-0.09608963,1.56059646,0.99181726,-0.14108166,0.9656622,0.25980093,-0.01074473,1.38443716,0.30402244,-0.05295625,1.63723576,0.3251653,-0.10732784,1.83684721,0.31111866,-0.14759656,0.95543135,-0.04970226,-0.03815978,1.34345216,-0.13093955,-0.10623048,1.57443583,-0.18223091,-0.18103394,1.77395166,-0.23686437,-0.23170887,0.86608164,-0.34153717,-0.07634283,1.13408678,-0.53392362,-0.15954566,1.30793418,-0.65995433,-0.21290545,1.47855164,-0.7590403,-0.24647794
open_hand,0,0,0,0.10166426,0.56083373,-0.09773735,0.4200736,0.9794369,-0.1027034,0.67299843,1.23624533,-0.1063947,0.77238946,1.49640566,-0.11125634,0.869845,0.63899219,-0.03543933,1.18428153,0.85625835,-0.09757032,1.38780604,0.97047096,-0.15427167,1.55496758,1.04327807,-0.20175086,0.95299164,0.3029966,-0.05270188,1.36822099,0.36262079,-0.11700488,1.6255366,0.39172665,-0.17885833,1.83631564,0.39025978,-0.22106286,0.93760467,-0.01262074,-0.08814071,1.33061703,-0.07407066,-0.17563838,1.57729706,-0.12763586,-0.25264057,1.79466026,-0.17960496,-0.30183934,0.83805372,-0.32182528,-0.13321077,1.11635432,-0.49213024,-0.22896211,1.30058204,-0.60847081,-0.28173213,1.48072734,-0.69720588,-0.31254857
